name,ring,quadrant,isNew,description
Postgres 10,Adopt,Data Management,FALSE,
MinIO,Trial,Data Management,FALSE,
Redis ,Trial,Data Management,TRUE,
"MSSQL 16, 19",Adopt,Data Management,FALSE,
Mongo Db,Assess,Data Management,TRUE,
Elastic Search,Assess,Data Management,TRUE,
ELK,Adopt,Data Management,FALSE,
RabbitMq,Adopt,Data Management,FALSE,
Postgres 14,Assess,Data Management,FALSE,
ActiveMq,Hold,Data Management,TRUE,
WMQ (IBM),Hold,Data Management,TRUE,
Docker,Adopt,Platforms and Infrastructure,TRUE,
Prometeus,Adopt,Platforms and Infrastructure,TRUE,
Kubernetes,Adopt,Platforms and Infrastructure,TRUE,
Grafana,Adopt,Platforms and Infrastructure,TRUE,
PgBouncer,Trial,Platforms and Infrastructure,TRUE,
Akka.Net,Assess,Platforms and Infrastructure,TRUE,
Dapr,Assess,Platforms and Infrastructure,TRUE,
Nginx,Adopt,Platforms and Infrastructure,TRUE,
Gitlab,Adopt,Platforms and Infrastructure,TRUE,
MassTransit,Trial,Frameworks & Tools,TRUE,
NLogger,Adopt,Frameworks & Tools,FALSE,
AutoMapper,Adopt,Frameworks & Tools,FALSE,
MediatR,Assess,Frameworks & Tools,TRUE,
Dapper,Assess,Frameworks & Tools,TRUE,
xUnit,Adopt,Frameworks & Tools,FALSE,
gRPC,Assess,Frameworks & Tools,FALSE,
EF Core,Adopt,Frameworks & Tools,FALSE,
SignalR Core,Adopt,Frameworks & Tools,FALSE,
Swagger,Adopt,Frameworks & Tools,FALSE,
CsvHelper,Trial,Frameworks & Tools,FALSE,
ExcelDataReader,Trial,Frameworks & Tools,TRUE,
Elastic Apm,Adopt,Frameworks & Tools,TRUE,
Moq,Adopt,Frameworks & Tools,FALSE,
Polly,Adopt,Frameworks & Tools,FALSE,
GraphQL,Assess,Frameworks & Tools,TRUE,
Hangfire,Adopt,Frameworks & Tools,FALSE,
".NET 6, C# 10",Adopt,languages-and-frameworks,TRUE,
<= .NET Framework 4.8,Hold,languages-and-frameworks,FALSE,
 <= .NET 5,Hold,languages-and-frameworks,FALSE,
C# < 10,Hold,languages-and-frameworks,FALSE,
Spec Flow,Assess,Frameworks & Tools,TRUE
FluentAssertions,Assess,Frameworks & Tools,TRUE
